16-11-2014 22:15:25,930; [main]; INFO ; org.wproject.server.service.AtividadeService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.AtividadeEntity, java.lang.Long>].
16-11-2014 22:15:25,989; [main]; INFO ; org.wproject.server.service.CategoryService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.CategoryEntity, java.lang.Long>].
16-11-2014 22:15:26,063; [main]; INFO ; org.wproject.server.service.CentroCustoService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.CentroCustoEntity, java.lang.Long>].
16-11-2014 22:15:26,079; [main]; INFO ; org.wproject.server.service.LogAtividadeService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.LogAtividadeEntity, java.lang.Long>].
16-11-2014 22:15:26,095; [main]; INFO ; org.wproject.server.service.OrderDetailService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.OrderDetailEntity, org.wproject.server.utils.entities.keys.OrderDetailKeyEntity>].
16-11-2014 22:15:26,111; [main]; INFO ; org.wproject.server.service.OrderService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.OrderEntity, java.lang.Long>].
16-11-2014 22:15:26,126; [main]; INFO ; org.wproject.server.service.ParametrosService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.ParametrosEntity, java.lang.Long>].
16-11-2014 22:15:26,141; [main]; INFO ; org.wproject.server.service.ProductService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.ProductEntity, java.lang.Long>].
16-11-2014 22:15:26,157; [main]; INFO ; org.wproject.server.service.ProjetoCentroCustoService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.ProjetoCentroCustoEntity, org.wproject.server.utils.entities.keys.ProjetoCentroCustoKeyEntity>].
16-11-2014 22:15:26,173; [main]; INFO ; org.wproject.server.service.ProjetoService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.ProjetoEntity, java.lang.Long>].
16-11-2014 22:15:26,189; [main]; INFO ; org.wproject.server.service.ResponsavelAtividadeService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.ResponsavelAtividadeEntity, java.lang.Long>].
16-11-2014 22:15:26,204; [main]; INFO ; org.wproject.server.service.SituacaoAtividadeService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.SituacaoAtividadeEntity, java.lang.Long>].
16-11-2014 22:15:26,220; [main]; INFO ; org.wproject.server.service.TipoAtividadeService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.TipoAtividadeEntity, java.lang.Long>].
16-11-2014 22:15:26,233; [main]; INFO ; org.wproject.server.service.TrabalhoRealizadoService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.TrabalhoRealizadoEntity, java.lang.Long>].
16-11-2014 22:15:26,244; [main]; INFO ; org.wproject.server.service.UsuarioService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.UsuarioEntity, java.lang.Long>].
16-11-2014 22:46:19,783; [Timer-1]; INFO ; org.wproject.server.service.AtividadeService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.AtividadeEntity, java.lang.Long>].
16-11-2014 22:46:19,822; [Timer-1]; INFO ; org.wproject.server.service.CategoryService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.CategoryEntity, java.lang.Long>].
16-11-2014 22:46:19,878; [Timer-1]; INFO ; org.wproject.server.service.CentroCustoService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.CentroCustoEntity, java.lang.Long>].
16-11-2014 22:46:19,893; [Timer-1]; INFO ; org.wproject.server.service.LogAtividadeService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.LogAtividadeEntity, java.lang.Long>].
16-11-2014 22:46:19,905; [Timer-1]; INFO ; org.wproject.server.service.OrderDetailService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.OrderDetailEntity, org.wproject.server.utils.entities.keys.OrderDetailKeyEntity>].
16-11-2014 22:46:19,919; [Timer-1]; INFO ; org.wproject.server.service.OrderService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.OrderEntity, java.lang.Long>].
16-11-2014 22:46:19,933; [Timer-1]; INFO ; org.wproject.server.service.ParametrosService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.ParametrosEntity, java.lang.Long>].
16-11-2014 22:46:19,949; [Timer-1]; INFO ; org.wproject.server.service.ProductService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.ProductEntity, java.lang.Long>].
16-11-2014 22:46:19,969; [Timer-1]; INFO ; org.wproject.server.service.ProjetoCentroCustoService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.ProjetoCentroCustoEntity, org.wproject.server.utils.entities.keys.ProjetoCentroCustoKeyEntity>].
16-11-2014 22:46:19,992; [Timer-1]; INFO ; org.wproject.server.service.ProjetoService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.ProjetoEntity, java.lang.Long>].
16-11-2014 22:46:20,006; [Timer-1]; INFO ; org.wproject.server.service.ResponsavelAtividadeService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.ResponsavelAtividadeEntity, java.lang.Long>].
16-11-2014 22:46:20,021; [Timer-1]; INFO ; org.wproject.server.service.SituacaoAtividadeService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.SituacaoAtividadeEntity, java.lang.Long>].
16-11-2014 22:46:20,035; [Timer-1]; INFO ; org.wproject.server.service.TipoAtividadeService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.TipoAtividadeEntity, java.lang.Long>].
16-11-2014 22:46:20,045; [Timer-1]; INFO ; org.wproject.server.service.TrabalhoRealizadoService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.TrabalhoRealizadoEntity, java.lang.Long>].
16-11-2014 22:46:20,059; [Timer-1]; INFO ; org.wproject.server.service.UsuarioService;  - Creating a REST service [org.wproject.server.service.utils.AbstractGenericService<org.wproject.server.utils.entities.UsuarioEntity, java.lang.Long>].
